"noc_2016","noc_title","harm.rank16","harm.rank06","harm.rank21","diff_21_06","diff_21_16","skill_groups","rank06","rank16","rank21","skill_groups_2","Score21_comp_elec","Score21_eng_tech","Score21_telco","Score21_tech_design","Score21_programming","Score21_inter_comp","Score16_comp_elec","Score16_eng_tech","Score16_telco","Score16_tech_design","Score16_programming","Score16_inter_comp","Score06_comp_elec","Score06_eng_tech","Score06_telco","Score06_tech_design","Score06_programming","Score06_inter_comp","normalized_tech_design06","normalized_tech_design16","normalized_tech_design21","normalized_programming06","normalized_programming16","normalized_programming21","normalized_comp_elec06","normalized_comp_elec16","normalized_comp_elec21","normalized_inter_comp06","normalized_inter_comp16","normalized_inter_comp21","normalized_eng_tech06","normalized_eng_tech16","normalized_eng_tech21","normalized_telco06","normalized_telco16","normalized_telco21","normalized_tech_design_diff","normalized_programming_diff","normalized_comp_elec_diff","normalized_inter_comp_diff","normalized_eng_tech_diff","normalized_telco_diff"
2212,"Geological and mineral technologists and technicians",84.7895615602585,52.5108196536065,101.95363908555,49.4428194319435,17.1640775252915,2,53,81,91,"2-3",14.9926666666667,14.5295222222222,3.224,1.63271111111111,1.89,13.6090888888889,16.046,14.812875,2.7645,1.855,1.855,13.9311,17.8125,14.364,3.4887,10.93865,2.926825,15.98295,0.503273521969174,0.897530256410257,0.131959177643882,0.117280821615903,0.0867836257309942,0.0971919330695551,0.588716434450045,0.486067179259544,0.478786130452077,0.554801893408135,0.472948628846267,0.448961172982186,0.437893415539106,0.491731055421943,0.460303612242624,0.146077329634247,0.111137465527084,0.158960323666406,-0.765571078766374,0.010408307338561,-0.00728104880746727,-0.0239874558640808,-0.0314274431793189,0.0478228581393219
8231,"Underground production and development miners",273.029822266904,214.83498821396,290.224112891604,75.389124677644,17.1942906247,2,279,333,335,"2-3",3.77238125,8.5534375,2.6079125,0.7147546875,0.1203125,2.4565078125,3.2889453125,8.349253125,2.3170125,1.101484375,0.1203125,1.84673125,3.03920740740741,7.18475679012346,2.42994444444444,6.89218518518519,1.31388888888889,2.15620740740741,0.317100767664375,0.565512630579298,0.0577679910044978,0.0526488493165445,0.00562865497076023,0.00618698648012215,0.0895984772155429,0.0900735151465298,0.110970629597577,0.0699932471040466,0.0551065578872027,0.0740057259928556,0.217019449729677,0.277018467060418,0.270714233595168,0.0996007288916981,0.0931477290087077,0.127541180770407,-0.5077446395748,0.000558331509361912,0.020897114451047,0.018899168105653,-0.00630423346525039,0.0343934517616997
3111,"Specialist physicians",193.729591853312,209.410306603135,211.047653472938,1.637346869803,17.318061619626,1,272,258,252,"0-1",11.8868126863905,4.27631887795858,3.14330399852071,1.41892176849112,1.1542768306213,12.5836787932692,12.7716857142857,4.92521632653061,3.37536734693878,1.23581632653061,0.839975510204082,11.8839510204082,8.350464,2.45376,3.086556,6.999396,1.153632,7.323264,0.322033402346446,0.574309415384615,0.114680269177362,0.0462271945888114,0.0392970998925886,0.0593578817277693,0.269040096220117,0.384428694262841,0.376972210848987,0.25116633941094,0.402164214129166,0.41448636413597,0.0714673361268529,0.163276695363033,0.135024011711438,0.128424259451107,0.135695341711576,0.154845000434538,-0.459629146207253,0.0200607818351807,-0.00745648341385413,0.0123221500068036,-0.0282526836515953,0.0191496587229611
2145,"Petroleum engineers",23.1370776314862,20.7351172146259,40.6544629766822,19.9193457620563,17.517385345196,1,18,25,38,"0-1",14.1102,23.1,3.08,5.0625,2.1056,19.1376,17.29,28.68,3.5045,5.0456,2.415,17.7184,14.952,27.258,3.2648,15.0024,7.0956,11.0084,0.69024154589372,1.23096615384615,0.409161995821496,0.284327828912834,0.112982456140351,0.108279012841934,0.492074003000122,0.524682371419791,0.449857729174042,0.380378681626928,0.603902368183563,0.634832527841984,0.834585494619091,0.952377788703012,0.732199281753233,0.136248705027129,0.140886687625128,0.151616632101451,-0.821804158024658,-0.00470344329841685,-0.0748246422457488,0.0309301596584209,-0.220178506949779,0.0107299444763238
6312,"Executive housekeepers",290.69600851786,147.611843495456,308.259502180829,160.647658685373,17.563493662969,3,195,342,351,"2-3",5.7358,3.608,2.1318,0.5244,0,14.1746,7.1556,5.3352,3.0672,0.475,0,4.3316,4.009,9.248,4.2218,5.1912,2.3895,1.8335,0.238840579710145,0.425944615384615,0.0423831211079097,0.0957496684124268,0,0,0.122363068773058,0.210098928149047,0.175334041409334,0.0586781206171108,0.14102603999184,0.467973944105905,0.280496434263071,0.176895786550446,0.113821808814385,0.178258502923566,0.123306505431243,0.103260463060551,-0.383561494276706,0,-0.0347648867397137,0.326947904114065,-0.0630739777360606,-0.0200460423706918
6315,"Cleaning supervisors",290.69600851786,147.611843495456,308.259502180829,160.647658685373,17.563493662969,3,196,343,352,"2-3",5.7358,3.608,2.1318,0.5244,0,14.1746,7.1556,5.3352,3.0672,0.475,0,4.3316,4.009,9.248,4.2218,5.1912,2.3895,1.8335,0.238840579710145,0.425944615384615,0.0423831211079097,0.0957496684124268,0,0,0.122363068773058,0.210098928149047,0.175334041409334,0.0586781206171108,0.14102603999184,0.467973944105905,0.280496434263071,0.176895786550446,0.113821808814385,0.178258502923566,0.123306505431243,0.103260463060551,-0.383561494276706,0,-0.0347648867397137,0.326947904114065,-0.0630739777360606,-0.0200460423706918
4165,"Health policy researchers, consultants and program officers",61.4542090429583,261.075526149224,79.241240577369,-181.834285571855,17.7870315344107,1,334,57,73,"0-1",16.2425,2.90625,3.88,1.625,4.8925,15.9375,15.3867,4.180425,4.5254,2.0825,5.47875,17.06255,10.175,1.7825,2.46,2.72,0.75,9.3,0.12514377731769,0.223179487179487,0.131335949276036,0.0300532543667379,0.256315789473684,0.251593403461798,0.33068232495912,0.465601748237639,0.519757287282168,0.320476858345021,0.58122499645585,0.527243538558521,0.0508155969455879,0.138535756520815,0.0915590142507265,0.100920089199487,0.181928553624983,0.19241491857342,-0.0918435379034513,-0.00472238601188602,0.0541555390445297,-0.0539814578973297,-0.0469767422700883,0.0104863649484367
5132,"Conductors, composers and arrangers",179.808878127486,152.084514829335,197.666487266296,45.581972436961,17.85760913881,1,199,232,236,"0-1",14.30198125,2.41635,3.03590625,1.254375,0.9765,13.1274375,14.2775666666667,2.26052222222222,3.2185,1.50944444444444,0.815,10.524,14.2775666666667,2.26052222222222,3.2185,6.11377777777778,1.61457777777778,10.524,0.281287222350024,0.501643304843305,0.101381250075771,0.0646977555339173,0.0381286549707602,0.0502158320859368,0.4692881693402,0.431172972676545,0.456144567155764,0.363394109396914,0.355141091736426,0.432767808363101,0.0655222534664322,0.0747592388359605,0.0760170932578709,0.134216256079788,0.129389015300749,0.149367945296297,-0.400262054767534,0.0120871771151766,0.0249715944792187,0.0776267166266755,0.00125785442191041,0.0199789299955487
7372,"Drillers and blasters - surface mining, quarrying and construction",211.591061786316,269.073857991913,229.522855253775,-39.551002738138,17.931793467459,3,341,274,271,"2-3",1.8056,8.694,3.015,2.1056,0,2.6492,2.639,6.6306,2.5856,2.76,0,0.253,2.639,6.6306,2.5856,2.6988,1.0934,0.253,0.124168391994479,0.22144,0.17017906141269,0.0438136377661216,0,0,0.0760774085435896,0.0698984643942474,0.0464969906769993,0.00326086956521739,0,0.0804841353225468,0.199970464991786,0.21992718478853,0.275173534002513,0.106433600814735,0.103945390076624,0.148301771325604,-0.0512609385873101,0,-0.0234014737172481,0.0804841353225468,0.0552463492139823,0.0443563812489797
7373,"Water well drillers",211.591061786316,269.073857991913,229.522855253775,-39.551002738138,17.931793467459,3,342,275,272,"2-3",1.8056,8.694,3.015,2.1056,0,2.6492,2.639,6.6306,2.5856,2.76,0,0.253,2.639,6.6306,2.5856,2.6988,1.0934,0.253,0.124168391994479,0.22144,0.17017906141269,0.0438136377661216,0,0,0.0760774085435896,0.0698984643942474,0.0464969906769993,0.00326086956521739,0,0.0804841353225468,0.199970464991786,0.21992718478853,0.275173534002513,0.106433600814735,0.103945390076624,0.148301771325604,-0.0512609385873101,0,-0.0234014737172481,0.0804841353225468,0.0552463492139823,0.0443563812489797
