noc_2016,noc_title,harm.rank06,harm.rank16,harm.rank21,Diff 21 - 06,Diff 21 - 16,Skill Type,,,,,
2263,Inspectors in public and environmental health and occupational health and safety,98.17767476,98.1645694,65.7497364,-32.42793836,-32.414833,2,,,,,
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",96.41450139,33.80192277,64.30845701,-32.10604439,30.50653424,1,,,,,
7304,"Supervisors, railway transport operations",250.1950444,213.0997626,218.2483465,-31.94669793,5.148583888,3,,,,,
3216,Medical sonographers,217.6830851,172.7839686,187.815233,-29.86785215,15.03126438,2,,,,,
6344,"Jewellers, jewellery and watch repairers and related occupations",259.9164174,230.2080785,230.1094088,-29.80700855,-0.098669604,3,,,,,
3112,General practitioners and family physicians,210.765245,337.1113552,181.1879511,-29.57729391,-155.9234041,1,,,,,
2224,Conservation and fishery officers,156.6547144,124.5053133,127.1535258,-29.50118856,2.648212515,2,,,,,
911,Manufacturing managers,169.7380732,96.37450762,140.5714742,-29.16659901,44.19696654,1,,,,,
3222,Dental hygienists and dental therapists,339.3860732,308.7551381,310.3165941,-29.0694791,1.56145598,2,,,,,
4151,Psychologists,278.805126,190.5698574,249.911499,-28.89362699,59.34164163,1,,,,,
1222,Executive assistants,184.3651493,134.1068452,155.747433,-28.6177163,21.64058786,2,,,,,
5254,"Program leaders and instructors in recreation, sport and fitness",354.8774473,364.779894,326.2641836,-28.61326376,-38.51571047,2,,,,,
4033,Educational counsellors,188.6646808,169.8435721,161.2320349,-27.43264587,-8.611537137,0,,,,,
3141,Audiologists and speech-language pathologists,142.6308313,128.9470544,115.7254345,-26.90539677,-13.22161988,1,,,,,
1454,Survey interviewers and statistical clerks,122.8777836,86.41354476,96.18161501,-26.69616861,9.768070256,4,,,,,
6523,Airline ticket and service agents,147.3992879,98.99062756,120.7682432,-26.63104472,21.77761562,5,,,,,
6342,"Tailors, dressmakers, furriers and milliners",363.5723913,359.5890714,337.0982981,-26.47409317,-22.49077327,3,,,,,
9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",264.0961934,263.092166,237.8984549,-26.1977385,-25.19371116,5,,,,,
