"","PC1","PC2","PC3","PC4","PC5"
"2.B.3 Troubleshooting",0.0129731158532945,0.212654257153586,0.0436420810079764,-0.0696835359602701,0.084126602953519
"2.B.4 Judgment and Decision Making",-0.131342414155848,0.0546349984173667,0.0363106875427743,-0.0256371472007659,0.100804500265988
"2.B.4 Systems Analysis",-0.0673472592760588,0.161408802382095,0.0587338004192307,0.0541991469855387,-0.0403275273374041
"2.B.4 Systems Evaluation",-0.0889364795054182,0.134049825633941,0.055888146551104,0.0675974072296693,-0.00221833109442328
"2.B.5 Management of Financial Resources",-0.110431995352375,0.0251256997014501,0.00633441159425874,0.144598040206866,0.156271148510589
"2.B.5 Management of Material Resources",-0.0740072602476289,0.119990281686021,-0.0704132747188544,0.10051341360966,0.169938531762149
"2.B.5 Management of Personnel Resources",-0.117895914958029,0.053390455649929,-0.0941675809877631,0.0991292531915981,0.114181323645584
"2.B.5 Time Management",-0.129897409589369,0.0102068718776832,0.0503344034092786,-0.0276489109712942,0.178538918357502
"2.C.1 Administration and Management",-0.121078539330327,0.0300998118968167,-0.0634578878622269,0.19966900151287,0.0244708532230565
"2.C.1 Clerical",-0.0906665571379008,-0.0906010693398264,0.084186987212559,0.0576883591163992,-0.0381346657020974
"2.C.1 Customer and Personal Service",-0.0977382133970213,-0.0837065927792118,-0.0492839114573718,0.0155251191607525,-0.0180821838412721
"2.C.1 Economics and Accounting",-0.0877881972578368,-0.0302750260746601,0.0290334502531576,0.202610400632846,0.0164000086832
"2.C.1 Personnel and Human Resources",-0.118621214619327,-0.00173124436286113,-0.116518463720853,0.140703863512052,0.0173533662069718
"2.C.1 Sales and Marketing",-0.0696090563870844,-0.0411590156346057,0.0140769633159549,0.168062047812808,0.121918652130976
"2.C.1 Transportation",-0.00179109082181427,0.0609854564973356,-0.0820087296785327,0.0184869525604598,-0.0546792240452494
"2.C.2 Food Production",0.0126935510102557,0.0119532389131755,-0.0734076124452042,0.0325811823993028,0.065908080054304
"2.C.2 Production and Processing",0.00289726109212999,0.141054452574829,-0.0246015053126065,0.147362649140612,0.0404515704201791
"2.C.3 Building and Construction",-0.00982553635910364,0.119548387981604,-0.0469079042541451,0.122875414486542,-0.0279157440093168
"2.C.3 Computers and Electronics",-0.100670346737155,0.0255001313666039,0.201176326571648,-0.0051558491957389,-0.0799324258598189
