"noc_2006","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
3141,13.143975,2.3672,2.3562,8.2662,1.2191,15.07365,106,273,94,92,307,219,142.630831254985,135.712400929342,133.25804560325,0,NA,NA,"3141",""
3142,7.9952,3.4254,2.2968,2.82,0.5244,8.6664,366,409,255,252,252,228,281.135517256706,272.764670239989,294.547194406847,0,NA,NA,"3142",""
3143,8.5598,5.0007,1.9109,1.96,0.75,9.6321,414.5,360.5,240,234,201,273,270.540598506124,269.894906494173,269.859174250257,0,NA,NA,"3143",""
3144,8.8687,3.6084,2.5707,5.289775,1.6054,10.493375,218,214,216,213,236,193,215.265067156618,209.566785659956,220.09004613767,0,NA,NA,"3144",""
3211,12.935,5.4264,3.441,0,4.4944,14.9984,479.5,44,100,95,187,121,103.204651161477,78.8385500092196,100.119756491182,0,NA,NA,"3211",""
3212,4.7925,1.4155,0.459,4.9062,2.405,12.0505,248,123,348,165,374,456,232.334299318087,208.963206829696,211.535693298745,0,NA,NA,"3212",""
3213,5.615025,2.0862,0.9163,5.1067,0.987,9.2701,231,311,320,248,328,406,297.865522147577,312.659756515201,282.704440337833,0,NA,NA,"3213",""
3214,11.6708,7.2615,2.4418,8.9994,2.38065,10.0719,82,128,142,223,136,207,138.362388473474,166.549228645419,129.679169593444,0,NA,NA,"3214",""
3215,12.42455,6.56640625,2.796325,2.58791875,1.95073125,14.4655875,378,160,118,108,156,169,155.122311229979,134.810831572883,152.453885974325,0,NA,NA,"3215",""
3216,11.2895,4.8443,1.9992,1.62,0.69,13.4673,430.5,377,152,134,205,262,217.683085104201,196.163636258118,210.431300072419,0,NA,NA,"3216",""
3217,12.7464,3.2232,3.9776,2.35,0.69,18.1467,389,377,106,36,259,92,106.7971611261,80.3680660731803,110.062871163617,0,NA,NA,"3217",""
3219,8.02418125,6.7662,2.36609375,8.6478,1.3102875,7.8007375,95,257,254,268,149,218,180.916051505792,248.737350378119,174.835303829084,0,NA,NA,"3219",""
3221,8.7768,12.069,2.5953,9.8548,2.6671,8.0216,53,104,220,264,71,188,108.067813406347,173.060632592755,99.5427231970121,0,NA,NA,"3221",""
3222,7.1189,2.2044,1.4268,3.145,0,5.764,346,477,284,322,320,334,339.386073228229,342.410873929524,340.27710624667,0,NA,NA,"3222",""
3223,1.6642,8.7447,0.7446,8.708,1.0452,2.1838,94,306,439,422,110,430,201.683161139852,391.607534444646,182.285846064049,0,NA,NA,"3223",""
3231,7.8076,4.18,1.7856,8.3385,0.1938,9.8904,104,461,263,227,217.5,290,215.244779340424,290.385932004689,204.592576078475,0,NA,NA,"3231",""
3233,7.4746,0.962,1.827,1.4256,0.5244,9.3408,441,409,270,241,403,286,324.617283232797,291.00193104216,333.355920213996,0,NA,NA,"3233",""
3234,5.758775,3.48155,6.566875,4.173925,1.3425,5.639825,280,248,317,327,248,44,149.975613315342,123.336038602561,281.147139577638,0,NA,NA,"3234",""
3236,2.3975,0.8932,4.6716,1.5943,0.01,3.2864,433,473,425,394,408,68,228.73998235863,186.206548148861,425.970454491119,0,NA,NA,"3236",""
3237,6.05554444444444,2.12083333333333,2.1184,3.84875555555556,0.834,5.48627777777778,297,347,306,330,326,246,305.897210084972,303.015996065221,321.216017591655,0,NA,NA,"3237",""
3411,8.2812,3.0394,0.9724,6.6766,0.4719,5.8996,147,419,249,312,268,402,266.294339675899,331.751152976963,249.375694985211,0,NA,NA,"3411",""
3413,4.0423875,0.537425,1.46364375,2.268375,0.9782125,4.2227375,396,314,368,365,432,330,364.378829489376,343.70111326629,371.879063847586,0,NA,NA,"3413",""
3414,8.38343611111111,2.27941111111111,1.84794166666667,3.37938888888889,0.850141666666667,7.57516666666667,326,342,246,279,317,283,296.159576069713,284.564032709632,298.717518598412,0,NA,NA,"3414",""
4011,14.6684224913495,3.70242223183391,3.34478070934256,7.02210951557093,3.14121955017301,15.7866851211073,128,70,62,80,234,127,96.5826498075194,79.8153043087658,92.0632984224968,0,NA,NA,"4011",""
4012,17.5392,2.3232,2.259775,5.9346,6.03705,11.16,184,26,34,195,311,236,71.8214954429906,53.3832176672264,63.0349778290003,0,NA,NA,"4012",""
4021,14.6490972244898,3.78813371428572,3.33652408163265,7.06288163265306,3.13094416326531,15.5877984489796,127,71,63,84,231,129,98.2097230246434,81.6811575603965,93.6304346392514,0,NA,NA,"4021",""
4031,14.41785,4.6461,3.5392,8.80445625,1.586475,13.74245,90,217,69,123,210,115,116.990025600648,112.492025616426,117.190062086177,0,NA,NA,"4031",""
4032,12.32,1.41,1.716,4.8777,0.5504,10.255,250,401,125,218,376,298,240.275399669772,218.164819851126,231.19394674575,0,NA,NA,"4032",""
4033,13.7116,1.1778,2.2885,3.363,0.7714,13.0854,328.5,352.5,81.5,142.5,391.5,231.5,188.664680812504,152.556564926967,181.809060844092,0,NA,NA,"4033",""
4111,10.9392,1.1524,3.0316,3.5156,0.7102,7.1939,325,367,162,286,393,152,245.116216385683,211.947154862187,278.672053185528,0,NA,NA,"4111",""
4112,8.442,0.8908,1.649,1.7584,0.3808,8.0384,425,441,242,263,410,309,330.180787706607,298.700168523971,334.536405892051,0,NA,NA,"4112",""
4151,10.558575,0.31405625,1.0507,2.110725,1.1323625,10.8324,405,285,167,205,457,388,278.805126017515,237.051822491931,263.856229386785,0,NA,NA,"4151",""
4152,6.42475555555556,0.213955555555556,1.82706666666667,1.31915555555556,0.873366666666667,8.99437777777778,451,331,301,249,470,285,330.481250790768,289.43958053185,341.091153692811,0,NA,NA,"4152",""
4153,8.76645,0.3205625,1.79669375,2.21986875,0.53265625,8.42640625,400,406,221,258,456,289,316.576982620859,280.292887029289,322.487847390188,0,NA,NA,"4153",""
4154,8.7963,1.827,4.525,2.1411,1.8513,11.27,403,178,219,194,341,71,173.669579496377,137.225314306775,242.019691280684,0,NA,NA,"4154",""
4155,8.33,0.3393,3.6023,0.8874,1.1618,14.0751,468,281,248,115,451,110,203.138848986068,158.781433716173,243.576417982581,0,NA,NA,"4155",""
4156,13.7116,1.1778,2.2885,3.363,0.7714,13.0854,328.5,352.5,81.5,142.5,391.5,231.5,188.664680812504,152.556564926967,181.809060844092,0,NA,NA,"4156",""
4161,13.061125,6.6723125,3.563625,4.075225,2.21669375,14.1841875,281,134,96,114,150,114,132.518767114571,113.934178172877,136.683150204875,0,NA,NA,"4161",""
4162,17.8667,2.16,1.5928,3.5263,8.1328,16.38,323,17,31,61,322,317,53.4465750400724,37.7076601255105,45.822381372244,0,NA,NA,"4162",""
4163,12.5625,2.2968,3.405325,5.817825,1.987425,16.22985,189,157,113,65,313,124.5,128.566218901011,104.655368016339,129.197530310416,0,NA,NA,"4163",""
4164,13.2412632653061,1.65094285714286,1.92822857142857,3.10361632653061,3.9844,14.8533204081633,349,51,92,99,349,269,121.453932751491,91.5600807808818,109.414593783938,0,NA,NA,"4164",""
4165,10.175,1.7825,2.46,2.72,0.75,9.3,371.5,360.5,176,245,345,202,261.075526149224,229.791050905544,276.920139763074,0,NA,NA,"4165",""
4166,16.3885,2.9792,4.9504,5.1759,1.8745,16.9604,230,172,44,49,270,60,82.8557014060376,62.1156481048505,89.251272423044,0,NA,NA,"4166",""
4167,13.482,1.397825,2.31715,5.4625,5.6628,10.0317,211,28,86,224,378,223.5,96.4145013946217,72.8918772664224,86.5396871594569,0,NA,NA,"4167",""
4168,10.268,0.1744,1.8824,5.6643,1.7549,18.0576,196,186,174,37,475,277,124.606002204155,97.6209980637147,112.221729066673,0,NA,NA,"4168",""
4211,11.8066666666667,0.641666666666667,1.34622222222222,3.55141111111111,1.32266666666667,16.5704888888889,322,254,138,59,428,342,166.090382144884,130.301937827937,150.559520756287,0,NA,NA,"4211",""
4212,6.516144,0.466944,1.657104,1.599488,0.767,8.654976,432,355,297,253,442,308,335.106559821814,299.896221870444,340.866331520903,0,NA,NA,"4212",""
4214,7.2885,0.5727,1.276,3.7557,1.1137,6.35625,299,287,279,301,430,365,320.159337631037,305.643333352536,312.335476897535,0,NA,NA,"4214",""
4215,12.0645,0.951644444444444,1.58693333333333,5.94446666666667,0.913188888888889,11.4906555555556,183,325,131,190,405,318,222.953200162199,210.375282161315,210.290072570917,0,NA,NA,"4215",""
4216,7.89824444444444,2.15755555555556,1.70831111111111,4.93546666666667,1.19386666666667,6.93268888888889,247,277,258,291,323,299,281.230733299765,281.370784395633,277.755225364926,0,NA,NA,"4216",""
4311,12.4699444444444,2.41048888888889,8.07881388888889,4.37268333333333,2.66659722222222,13.0820666666667,265,105,115,144,306,27,88.6495785711366,65.935345487973,156.406743360341,0,NA,NA,"4311",""
4312,9.082308,8.605632,7.134016,10.480104,1.548816,10.32768,42,221,207,216,113,36,82.2196425266876,97.6860166414007,108.818106795451,0,NA,NA,"4312",""
4411,3.3725,0.490875,1.27445,2.0169,0.41875,1.8156,411,436,396,442,439,367,414.311404348726,408.916470477227,425.008547107843,0,NA,NA,"4411",""
4412,0.7479,0.3211,1.157175,3.620925,0.9591,0.88075,316,318,465,470,455,378,389.865061325674,398.311808653429,392.113259006792,0,NA,NA,"4412",""
4413,7.4045,0.9591,1.3376,3.1459,0.756,7.425,345,358,274.5,280,404,344,329.094266712578,310.738767345191,326.0875067642,0,NA,NA,"4413",""
4421,8.866125,2.135,11.4777,3.293825,1.0585,10.4912,333,305,217,214,324,16,77.5186216097389,56.0775267148113,269.146725800741,0,NA,NA,"4421",""
4422,11.3844,2.02335,6.613725,2.1004,0.8092,11.6171,407,348,150,174,330,40,133.142483600375,101.029552551541,241.846622261552,0,NA,NA,"4422",""
4423,9.680616,2.524032,5.02276,3.221272,1.129964,11.073672,338,286,190,199,298,57,161.049458072681,129.193533427613,249.821917388368,0,NA,NA,"4423",""
5111,15.0378,1.2963,3.6792,6.7068,0.4712,15.0718,144,420.5,56,93,384,104,121.035090624151,99.8042681457274,124.84833709971,0,NA,NA,"5111",""
5112,12.446,4.020025,2.31855,8.1089,1.6575,9.366,109,203,116,240,221,222,168.170553079236,181.137665250842,160.288465277494,0,NA,NA,"5112",""
5113,11.9948,0.7869,1.9176,4.312,5.64,14.652,268.5,29.5,133.5,103.5,421.5,271.5,100.775346554899,74.8209923028818,89.4956350575706,0,NA,NA,"5113",""
5121,12.5625111111111,3.17066666666667,3.4529,7.22944444444444,0.853377777777778,15.9782777777778,121,341,112,71,261,120,130.603997026402,117.900594241015,132.710696421113,0,NA,NA,"5121",""
5122,12.9766,1.467,2.592,2.1672,0.5143,16.7186,402,415,98,55,370,190,147.151122721672,112.367122066046,140.691275122732,0,NA,NA,"5122",""
5123,12.9645,2.468125,8.0901,1.9926,1.923375,13.8171,412,170,99,119,302,26,89.6325587749314,65.3399140264289,167.207728085653,0,NA,NA,"5123",""
5125,9.4176,1.4151,2.0394,1.904,0.663,4.888,421,386,199,344,375,259,309.950549963318,279.160321227492,322.335820347338,0,NA,NA,"5125",""
5131,13.8865714285714,3.77569795918367,7.80085714285714,6.70123469387755,1.63937346938776,13.4696428571429,146,207,80,132,232,29,86.8305944390046,68.9589760712983,139.794700711317,0,NA,NA,"5131",""
5132,14.2775666666667,2.26052222222222,3.2185,6.11377777777778,1.61457777777778,10.524,171,213,71,212,318,137,152.084514829335,131.134648609631,155.253604236845,0,NA,NA,"5132",""
5133,4.08595,1.2642,0.5676,1.269975,0.308,2.10405,453,448,366,427,386,440,418.333845371447,418.585645226712,414.077363938695,0,NA,NA,"5133",""
5134,1.5936,0.9996,0.29,1.7407,0.0612,1.3629,427,469.5,442,455,401,473,444.134118394859,460.541816128827,438.606952440104,0,NA,NA,"5134",""
5135,1.515,1.3632,2.756,0.938,0.0612,2.016,464,469.5,446,431,379,172,348.031613344788,321.086644201261,436.320491439675,0,NA,NA,"5135",""
5136,9.504,3.9975,0.7497,6.6216,1.2994,4.0546,152,261,195,369,222,429,240.313643403595,286.79758559501,220.830596315203,0,NA,NA,"5136",""
5211,15.5572,2.7599,2.2935,5.4858,0.6816,12.6945,208,385,49,150,286,230,143.502205727334,119.252781886987,133.396653401784,0,NA,NA,"5211",""
5212,10.3861,6.2776,1.746,10.395,3.4569,8.153,44,59.5,172,261,163,295,103.762734356614,135.572793829009,91.8343646579986,0,NA,NA,"5212",""
5221,8.43,2.8914,3.2915,9.0288,1.392,10.7124,81,244,244,209,272,133,165.535588433306,196.195219123506,173.711865909897,0,NA,NA,"5221",""
5222,16.6366,7.1273,8.7612,6.1976,1.1808,11.9616,167,279,40,170,140,23,67.780624748006,52.9967738887464,106.71400733566,0,NA,NA,"5222",""
5223,16.2272,2.8044,2.6499,8.85,0.8352,13.524,87.5,345.5,45.5,128.5,281.5,183.5,114.563505277112,106.571629916187,106.490273362675,0,NA,NA,"5223",""
5224,21.1792,16.6366,22.9414,8.496,2.6167,15.5295,97,112,15,87,34,1,9.65423821948121,6.86444041763741,41.1560896748265,1,"Digital",NA,"5224",""
5225,21.79415,12.3324,11.826,14.493175,1.5879,20.3096,15,216,13,17,68,14,21.7982192305709,20.1756198347107,23.9710228068654,1,"High-Tech",1,"5225",""
5226,6.435975,3.0561,1.491225,4.0095,0.381875,3.67565,286,440,300,385,267,328,325.455785853272,356.505600666531,324.756086694185,0,NA,NA,"5226",""
5227,7.307375,5.6800875,4.466225,5.69625,0.80046875,4.59478125,194,350,277,349,180,73,179.265824728645,175.309563102718,250.547006564646,0,NA,NA,"5227",""
5231,14.8503,2.8638,7.72915,5.4981,1.335,10.217,206,252,58,220,274,30,90.7002678111879,69.3425096234758,147.519213200733,0,NA,NA,"5231",""
5232,0.4715,0.1308,0.264,0.4212,0.1484,0.3302,477,463,474,475,479,476,474.942977807506,472.941147184119,474.533700510636,0,NA,NA,"5232",""
5241,17.779,3.3397,2.309475,9.8952,2.7122,16.946125,51,102,33,50,255,226,69.5485650202798,63.3576727659151,61.0758897097408,0,NA,NA,"5241",""
5242,14.6142,4.7053,1.8042,8.7264,1.3386,20.292,91,251,65,19,208,288,68.0008193617218,55.1116186597506,58.9803315149544,0,NA,NA,"5242",""
5243,9.45657777777778,2.80293333333333,1.99433333333333,8.715,1.21537777777778,7.40662222222222,92,275,198,281,284,263,198.388082188111,250.276992299955,188.993949259505,0,NA,NA,"5243",""
5244,6.0064875,4.7679375,2.150625,6.975375,0.70118125,4.34004375,135,370,307,356,207,244,240.13872697152,311.892683109578,239.18953055228,0,NA,NA,"5244",""
5245,6.8635,5.3502,0.3528,6.3754,0.9174,18.9225,159,324,291,26,194,461,105.11318730269,87.5213774550179,91.0467821555698,0,NA,NA,"5245",""
5251,0.7424,1.3034,1.1023,2.7924,2.445,1.0224,368,121,466,465,383,383,294.084027560384,265.108915873447,280.927830147337,0,NA,NA,"5251",""
5252,8.736,0.4864,2.6474,4.4254,1.6218,7.7004,264,209,222,270,440,185,246.368636316242,218.428952498974,263.471214749593,0,NA,NA,"5252",""
5253,3.8016,0.2331,1.296,1.0064,0.4284,3.0294,462,432,378,399,467,362,413.810468167657,392.048773120651,425.728634124825,0,NA,NA,"5253",""
5254,2.5748,0.891,0.6811,5.5744,0.4935,2.59315,200,417,420,412,409,433,354.87744732642,421.358831657517,342.393107829058,0,NA,NA,"5254",""
6211,5.382,2.4806,0.8477,1.5914,1.4507,7.37,434,234,330,282,300,419,318.943689431147,303.237320605195,304.30014197697,0,NA,NA,"6211",""
6221,16.5627,13.164825,5.167525,14.4739,4.609,15.8704,16,40,41,75,54,55,38.407336624864,50.4956110735989,36.1368258645735,0,NA,NA,"6221",""
6222,6.5949,2.0824,3.335,4.635,0.5203,9.7474,259,411,294,231,329,130,243.532146763802,225.213208929576,294.051629379844,0,NA,NA,"6222",""
6231,14.56,1.9344,3.757,3.3196,1.7548,12.03,332,187,66,166,333,99,142.080567680214,110.397983004165,155.137080512662,0,NA,NA,"6231",""
6232,11.6675,0.5166,1.5168,3.1706,0.3625,13.16,342,447,143,140,435,323,244.257550650903,206.662748780709,232.798346717759,0,NA,NA,"6232",""
6235,6.5648,0.278733333333333,0.6992,1.44222222222222,0.516,13.6081,439,413,296,126,463,432,294.206391230595,250.533214939647,276.481727612083,0,NA,NA,"6235",""
6311,4.4296,1.2848,1.224,2.075,1.1023,11.0789,408,289,360,197,385,371,315.910893067137,286.593799955467,306.663327388491,0,NA,NA,"6311",""
6312,4.009,9.248,4.2218,5.1912,2.3895,1.8335,228.5,125.5,369.5,440.5,87.5,81.5,147.611843495456,160.061390238323,175.27910581223,0,NA,NA,"6312",""
6313,7.000292,4.216212,2.658592,5.247788,2.1144,8.417136,224,150,288,259,216,181,210.702841264179,205.937343412009,217.565192001123,0,NA,NA,"6313",""
6314,11.2632,3.4371,3.16,4.988,1.5229,9.3702,239,229,155,238,250,143,199.751257936614,182.759999254069,216.516639937631,0,NA,NA,"6314",""
6315,4.009,9.248,4.2218,5.1912,2.3895,1.8335,228.5,125.5,369.5,440.5,87.5,81.5,147.611843495456,160.061390238323,175.27910581223,0,NA,NA,"6315",""
6316,11.2632,3.4371,3.16,4.988,1.5229,9.3702,239,229,155,238,250,143,199.751257936614,182.759999254069,216.516639937631,0,NA,NA,"6316",""
6321,4.7306,2.7232,1.276,2.9862,3.4569,3.925,361,59.5,353,379,289,366,194.043725859037,161.87674088749,177.32967671503,0,NA,NA,"6321",""
6322,2.826248,1.579952,1.429128,2.132348,0.9702,2.79072,404,315,412,406,356,333,367.93709895426,362.421300064355,375.569273565745,0,NA,NA,"6322",""
6331,1.5134,0.4092,0.417,3.1563,0.6321,2.8696,344,390,447,401,447,458,411.336640110964,423.016360769263,402.967667151023,0,NA,NA,"6331",""
6332,4.7475,2.015,1.7548,6.2208,2.9184,3.9674,166,82,352,374,331,294,200.416711230017,191.0443095285,188.339574700707,0,NA,NA,"6332",""
6341,0.483175,0.5166,0.5513,3.89025,0.3795,1.1895,294,442,473,459,434,444,414.455485565995,455.158623596571,408.842942129095,0,NA,NA,"6341",""
6342,2.371575,2.361425,1.0335,4.763,0.2664,1.7819,253,452,426,445,308,393,363.572391321539,428.740654383671,358.042254464084,0,NA,NA,"6342",""
6343,0.9174,2.9829,0.534,1.1815,0.0202,0.9792,456,472,461,466,269,446,412.398948446006,462.046829033991,406.111747765418,0,NA,NA,"6343",""
6344,4.21452,7.3718,1.322364,5.545736,0.585,3.640512,201,397,364,386,134,345,259.916417395101,372.91024895378,247.596204492175,0,NA,NA,"6344",""
6345,4.466,1.5444,0.5376,3.7248,1.0611,4.4073,300,304,358,353,357,445,347.891222399124,359.349808213829,333.230746524443,0,NA,NA,"6345",""
6346,5.72,2.8282,1.8312,6.5968,1.5386,5.777,153,224,318,321,279,284,247.335600538499,281.817103923236,240.966575037391,0,NA,NA,"6346",""
6411,7.46521875,2.80395,4.048,3.645,1.71795625,12.0115625,305,190,271,167,283,90,183.809083500885,154.718141579646,230.908974198714,0,NA,NA,"6411",""
6421,5.55555,1.1988,2.448225,0.591375,0.51435,3.984,474,414,325,372,388,204,338.751582273433,306.839361659806,389.58876663812,0,NA,NA,"6421",""
6511,3.0535,0.8804,0.8162,0.5289,0.1456,3.621,475,464,403,387,412,423,426.023105786569,418.340231847469,426.430045925003,0,NA,NA,"6511",""
6512,4.7712,0.8512,1.12,0.434,0.242,2.7132,476,456,350,408,414,382,410.980998508249,396.308760824361,417.075085900631,0,NA,NA,"6512",""
6513,2.21615,0.3306,0.62745,2.30265,0.76275,2.1505,392,357,429,424,454,434,413.42242901799,409.388538637228,409.361269546302,0,NA,NA,"6513",""
6521,9.9813,0.222,2.1112,5.9904,1.3072,15.8592,181,258,181,76,468.5,247.5,176.516803663121,151.706697243075,166.850461963014,0,NA,NA,"6521",""
6522,5.29385,1.52675,3.312,1.95795,0.995625,3.244875,417,309,331,395,360,132,279.794216323917,245.671511155716,359.052638385272,0,NA,NA,"6522",""
6523,7.1556,1.3254,2.968875,5.51075,2.575675,16.076125,204,114,283,68,380,153,147.399287894227,120.470900083433,146.146468718531,0,NA,NA,"6523",""
6524,7.725375,0.4797,1.30065,2.2176,1.802,18.84875,401,181,266,27,441,361,114.35858547572,83.8283739365701,100.59529238184,0,NA,NA,"6524",""
6525,10.4958,2.646,4.5563,2.7528,1.4382,18.354,369,238,168,33,292.5,69,100.152570921622,74.3511848319239,109.594127186115,0,NA,NA,"6525",""
6531,4.19264444444445,0.297733333333333,1.85866666666667,4.63911111111111,0.765333333333333,7.1407,258,356,365,288,460,281,323.104055551615,318.987717014685,332.805952253265,0,NA,NA,"6531",""
6532,7.8231,0.6273,2.8217,7.952,1.6608,9.3148,113,202,262,243,429,166,200.586477611968,212.598882419182,208.9928658889,0,NA,NA,"6532",""
6533,6.7932,2.32512,1.5147,1.2614,0.78532,6.16032,454,351,292,307,310,324,333.503958048042,318.026841948855,335.25843414603,0,NA,NA,"6533",""
6541,5.4172,1.64010625,2.4315625,2.864325,1.5404125,5.151425,363,223,328,340,350,210,288.851170904551,263.579496998195,311.864453223977,0,NA,NA,"6541",""
6551,7.1154,0.29375,2.2365,3.234375,1.13925,20.8619,337,284,285,14,461,238,72.307342744231,51.3768728922236,63.4557835932621,0,NA,NA,"6551",""
6552,8.664425,0.410375,3.9579,4.04835,1.82865,17.1915,282,179,225,46,446,93,125.876062507566,95.4762677586078,135.034277554346,0,NA,NA,"6552",""
6561,4.9541,1.5423,1.60535,3.278175,0.703525,4.808475,335,369,339,347,358,316,344.160580834556,342.699994616665,350.160943362828,0,NA,NA,"6561",""
6562,2.7871625,0.8182625,1.16796875,4.281875,0.61639375,3.51135,273,391,414,391,419,375,370.328279679288,393.265182784914,369.214406884487,0,NA,NA,"6562",""
6563,3.73275,0.494,1.69155,4.293,0.962,2.352675,270.5,316.5,379,417,438,302,344.135254160664,348.618518761341,353.739996512705,0,NA,NA,"6563",""
6564,11.2632,3.4371,3.16,4.988,1.5229,9.3702,239,229,155,238,250,143,199.751257936614,182.759999254069,216.516639937631,0,NA,NA,"6564",""
6611,4.0836,1.2615,2.9468,0.7473,0.962,6.364,471,316.5,367,300,387,154,295.031183663431,255.740255580384,360.09511247866,0,NA,NA,"6611",""
6621,8.57475,5.91705,2.63625,6.76035,2.873875,6.6759,143,84,239,294,169,186,160.018801031371,162.148160622158,155.53066850448,0,NA,NA,"6621",""
6622,2.89690625,0.669375,0.89665,1.4506125,0.2679,6.2239625,438,451,408,305,425,412,400.748580013262,386.598242620791,398.38500518761,0,NA,NA,"6622",""
6623,4.3818,0.205955555555556,2.216,1.65136666666667,0.442766666666667,7.161,429,428,361,287,472,241,350.106688059635,315.013043691227,384.455634644133,0,NA,NA,"6623",""
6711,2.075636,0.894544,0.87464,1.93248,0.8892,2.36808,419,330,431,416,407,413,400.495650850366,394.107955107538,397.899816047238,0,NA,NA,"6711",""
6721,2.7512,0.2464,2.6544,2.5896,0.2688,1.8792,377,450,415,437,465,182,349.647245542831,323.396257009845,427.508588384571,0,NA,NA,"6721",""
6722,5.59923333333333,1.1952,1.98986666666667,2.5263,0.572033333333333,6.29546666666667,381,398,321,303,389,265,336.273267424995,315.937600860678,355.032114592848,0,NA,NA,"6722",""
6731,2.0184,1.8966,3.4228,2.057,1.2927,0.4114,409,263,434,474,338,123,277.195339714964,246.055293066786,368.164941880266,0,NA,NA,"6731",""
6732,5.2628,7.056,2.8336,1.8725,0.2541,1.991,422,454,334,434,143,165,262.992550591052,296.168531716327,297.792085423666,0,NA,NA,"6732",""
6733,1.0508,0.8509,1.8212,4.3485,1.027,0.8645,267,307,452,471,415,287,349.236913122701,362.150720782938,364.748055473177,0,NA,NA,"6733",""
6741,2.9949,2.8424,3.5964,4.293,0.5704,1.2792,270.5,399,405,457,277,112,257.772026619566,250.062237007844,346.576630461973,0,NA,NA,"6741",""
6742,3.22095,0.841375,1.14215625,1.316775,0.525675,2.83185,452,407,399,402,416,379,409.010892489665,397.45829720671,415.352870100058,0,NA,NA,"6742",""
7201,3.6672,12.5112,2.1004,6.0258,1.0658,5.8464,176,300,387,317,63,252,175.072482581474,307.768019054633,164.913360991578,0,NA,NA,"7201",""
7202,3.6672,12.5112,2.1004,6.0258,1.0658,5.8464,176,300,387,317,63,252,175.072482581474,307.768019054633,164.913360991578,0,NA,NA,"7202",""
7203,3.6672,12.5112,2.1004,6.0258,1.0658,5.8464,176,300,387,317,63,252,175.072482581474,307.768019054633,164.913360991578,0,NA,NA,"7203",""
7204,3.6672,12.5112,2.1004,6.0258,1.0658,5.8464,176,300,387,317,63,252,175.072482581474,307.768019054633,164.913360991578,0,NA,NA,"7204",""
7205,7.395375,13.4335,4.446,3.763425,1.4245,7.8336,298,239,276,265,52,74,127.437472825714,160.839538646664,148.154383363389,0,NA,NA,"7205",""
7231,6.95,11.8802,0.3422,6.1875,3.0456,10.744,168.5,75.5,289.5,206.5,72.5,462.5,139.54735269957,170.277901760807,122.433006781995,0,NA,NA,"7231",""
7232,7.1832,15.812,0.899,12.3906,4.0572,8.384,26,50,282,260,37,410,64.6839273460127,136.027032722428,55.3552579811553,0,NA,NA,"7232",""
7233,3.3408,6.9408,1.272,9.8832,0.4636,2.7974,52,422.5,398,405,145,369,167.829645742717,398.67251450962,151.295843437129,0,NA,NA,"7233",""
7234,5.085,15.2586,1.5438,7.791,2.262,3.9804,117,131,337,373,41,321,123.46231698856,245.192325415861,109.908868484619,0,NA,NA,"7234",""
7235,0.6936,6.4862,0.2709,10.2492,3.159,1.968,45,69,471,435,158,474,122.871159620505,192.278115745368,107.005946979055,0,NA,NA,"7235",""
7236,2.8254,9.07175,1.54,8.831025,1.53435,1.784575,89,226,413,444,104,322,182.933342592303,328.84158948603,168.333975829124,0,NA,NA,"7236",""
7237,5.26602222222222,7.038,0.904833333333333,5.24125555555556,1.2551,3.5568,225,269,333,389,144,409,260.618316477283,341.855721428419,242.917158390945,0,NA,NA,"7237",""
7241,11.6436,13.8106,12.0696,3.71,0.4256,3.149,302.5,433.5,144.5,397.5,48.5,11.5,52.0920734008072,43.6282288780056,142.123494828431,0,NA,NA,"7241",""
7242,14.08,11.763125,9.6195,7.1016,2.1824,5.323275,124,139,76,336,74,20,65.1822423946236,56.56406390496,112.535149616079,0,NA,NA,"7242",""
7243,11.6436,13.8106,12.0696,3.71,0.4256,3.149,302.5,433.5,144.5,397.5,48.5,11.5,52.0920734008072,43.6282288780056,142.123494828431,0,NA,NA,"7243",""
7244,5.6376,10.9624,6.273,7.982,1.6626,4.161,112,201,319,367,77,48,113.483504876302,128.200815319489,154.02170685644,0,NA,NA,"7244",""
7245,11.4777,9.4233,16.7112,8.3904,4.914,11.573,100,35,147,175,85,4,22.9230521079773,16.6516557044024,80.9778892600605,1,"Digital",NA,"7245",""
7246,22.508,13.1724444444444,18.8359111111111,14.1669333333333,6.95041111111111,16.6687111111111,18,22,12,56,53,2,11.0613630763868,8.48754980079681,23.912541897264,1,"Digital",1,"7246",""
7247,18.4274,17.3376,14.8732,9.7776,2.0768,13.5044,57,153,26,130,30,5,22.44414982524,18.3628763105552,49.6703995748549,1,"High-Tech",NA,"7247",""
7251,2.5434,8.9639,1.173,2.415,0,1.8437,386,477,421,439,105,374,280.124416491062,425.48156344865,266.632717983714,0,NA,NA,"7251",""
7252,15.437,23.6562,5.9247,8.9262,2.2,12.129,84.5,135.5,51.5,160.5,11.5,50.5,41.7597680398341,76.9481552647899,40.2377298933796,0,NA,NA,"7252",""
7253,15.437,23.6562,5.9247,8.9262,2.2,12.129,84.5,135.5,51.5,160.5,11.5,50.5,41.7597680398341,76.9481552647899,40.2377298933796,0,NA,NA,"7253",""
